pop_est,continent,name,iso_a3,gdp_md_est,geometry,regionw,regionun,_merge
4954674,Africa,Congo,COG,30270,"POLYGON ((18.45306521980993 3.504385891123349, 18.39379235197114 2.90044342692822, 18.09427575040743 2.365721543788055, 17.89883548347959 1.741831976728278, 17.77419192879157 0.8556586775710854, 17.82654015470325 0.2889232446261047, 17.66355268725468 -0.05808399821381727, 17.63864464688999 -0.4248316381892465, 17.52371626147286 -0.7438302547269871, 16.86530683764212 -1.225816338713287, 16.40709191251005 -1.740927015798682, 15.97280317552915 -2.712392266453612, 16.0062895036543 -3.535132744972529, 15.75354007331475 -3.855164890156097, 15.17099165208844 -4.343507175314301, 14.58260379401318 -4.97023894615014, 14.20903486497522 -4.793092136253598, 14.1449560889333 -4.510008640158716, 13.60023481614468 -4.50013844159097, 13.25824018723705 -4.882957452009165, 12.99551720546518 -4.781103203961884, 12.62075971848449 -4.438023369976136, 12.31860761887393 -4.606230157086188, 11.91496300624209 -5.037986748884791, 11.09377282069192 -3.978826592630547, 11.85512169764812 -3.426870619321051, 11.4780387712143 -2.765618991714241, 11.82096357590319 -2.514161472181982, 12.49570275233816 -2.391688327650243, 12.57528445806764 -1.948511244315135, 13.10961876796563 -2.428740329603514, 13.99240726080771 -2.4708049454891, 14.29921023932457 -1.998275648612214, 14.42545576341359 -1.333406670744971, 14.31641849127774 -0.5526274552470483, 13.84332075364566 0.038757635901149, 14.27626590338696 1.196929836426619, 14.02666873541722 1.395677395021153, 13.28263146327882 1.31418366129688, 13.00311364101208 1.83089630778332, 13.07582238124675 2.267097072759015, 14.33781253424658 2.227874660649491, 15.14634199388524 1.964014797367184, 15.94091881680507 1.727672634280296, 16.01285241055535 2.267639675298085, 16.53705813972414 3.198254706226279, 17.1330424333463 3.728196519379452, 17.80990034350526 3.56019643799857, 18.45306521980993 3.504385891123349))",Sub-Saharan Africa,,left_only
778358,Africa,Eq. Guinea,GNQ,31770,"POLYGON ((9.649158155972628 2.283866075037736, 11.27644900884371 2.261050930180872, 11.28507897303646 1.057661851400013, 9.830284051155644 1.067893784993799, 9.492888624721985 1.010119533691494, 9.305613234096256 1.160911363119183, 9.649158155972628 2.283866075037736))",Sub-Saharan Africa,,left_only
2051363,Africa,Gambia,GMB,3387,"POLYGON ((-16.71372880702347 13.59495860437985, -15.62459632003994 13.62358734786956, -15.39877031092446 13.86036876063092, -15.08173539881382 13.87649180750599, -14.68703080896849 13.63035696049978, -14.37671383305579 13.62568024337737, -14.04699235681748 13.79406789800045, -13.84496334477241 13.505041612192, -14.27770178878455 13.28058502853224, -14.71219723149463 13.29820669194378, -15.14116329594947 13.50951162358524, -15.51181250656293 13.27856964767287, -15.69100053553499 13.27035309493846, -15.93129594569221 13.13028412521133, -16.84152462408127 13.15139394780256, -16.71372880702347 13.59495860437985))",Sub-Saharan Africa,,left_only
647581,Oceania,Solomon Is.,SLB,1198,"MULTIPOLYGON (((162.1190246930409 -10.48271900802115, 162.3986458681722 -10.82636728276211, 161.7000321800184 -10.82001108159021, 161.3197969912148 -10.20475147872317, 161.917383254238 -10.44670053471371, 162.1190246930409 -10.48271900802115)), ((161.6799817242891 -9.599982191611367, 161.5293966005906 -9.784312025596485, 160.7882532086605 -8.917543226764892, 160.5799971865243 -8.32000864017396, 160.9200281110049 -8.32000864017396, 161.28000613835 -9.120011488484451, 161.6799817242891 -9.599982191611367)), ((160.8522286318379 -9.872937106977048, 160.4625883323572 -9.895209649294841, 159.8494474632141 -9.794027194867354, 159.6400028831351 -9.639979750205278, 159.7029447776666 -9.242949720906815, 160.3629561708984 -9.400304457235571, 160.6885176943372 -9.610162448772869, 160.8522286318379 -9.872937106977048)), ((159.6400028831351 -8.020026950719632, 159.8750272971986 -8.337320244991737, 159.9174019716779 -8.538289890174831, 159.1336771995394 -8.114181410355428, 158.5861137229747 -7.754823500197737, 158.2111495302648 -7.421872246941199, 158.3599776552654 -7.320017998893917, 158.8200012555277 -7.560003350457379, 159.6400028831351 -8.020026950719632)), ((157.1400004417189 -7.021638278840641, 157.5384257346892 -7.347819919466943, 157.3394197939332 -7.404767347852592, 156.9020304710148 -7.176874281445428, 156.4913578635913 -6.765943291860452, 156.542827590154 -6.599338474151452, 157.1400004417189 -7.021638278840641)))",East Asia & Pacific,,left_only
1379302771,Asia,China,CHN,21140000,"MULTIPOLYGON (((109.4752095886636 18.19770091396857, 108.6552079610562 18.50768199307139, 108.6262174825404 19.36788788500191, 109.119055617308 19.82103851976935, 110.2115987488228 20.10125397387203, 110.7865507345022 20.07753449145005, 111.0100513041646 19.69592987719072, 110.5706466003868 19.25587921800927, 110.3391878601515 18.67839508714759, 109.4752095886636 18.19770091396857)), ((80.2599902688853 42.34999929459906, 80.1801501809943 42.92006785742694, 80.86620649610126 43.18036204688101, 79.96610639844141 44.91751699480463, 81.9470707539181 45.31702749285312, 82.45892581576906 45.53964956316651, 83.18048383986047 47.33003123635086, 85.16429039911324 47.0009557155161, 85.72048383987067 47.45296946877311, 85.7682328633083 48.45575063739699, 86.59877648310336 48.54918162698063, 87.35997033076265 49.21498078062912, 87.75126427607671 49.29719798440549, 88.01383222855173 48.59946279560062, 88.85429772334676 48.06908173277296, 90.28082563676392 47.69354909930793, 90.97080936072501 46.88814606382293, 90.58576826371828 45.71971609148753, 90.9455395853343 45.28607330991028, 92.13389082231822 45.11507599545646, 93.4807336771413 44.97547211361996, 94.68892866412533 44.35233185482842, 95.30687544147153 44.24133087826547, 95.76245486855669 43.31944916439461, 96.34939578652781 42.72563528092869, 97.45175744017801 42.74888967546002, 99.51581749878004 42.52469147396172, 100.8458655131083 42.66380442969145, 101.8330403991799 42.51487295182628, 103.3122782735348 41.9074681666676, 104.522281935649 41.90834666601656, 104.9649939310935 41.59740957291635, 106.1293156270617 42.13432770442891, 107.7447725769379 42.48151581478187, 109.2435958191315 42.5194463160841, 110.4121033061153 42.87123362891103, 111.1296822449202 43.40683401140015, 111.8295878438814 43.74311839453952, 111.6677372579432 44.07317576758771, 111.3483769063795 44.45744171811009, 111.8733061056003 45.10207937273506, 112.4360624532588 45.01164561622429, 113.4639066915442 44.80889313412712, 114.4603316589961 45.33981679949382, 115.9850964702001 45.727235012386, 116.7178682800989 46.38820241961521, 117.4217012879142 46.67273285581426, 118.8743257996387 46.80541209572365, 119.6632698914388 46.69267995867892, 119.7728239278975 47.04805878355013, 118.8665743347949 47.74706004494617, 118.0641426941667 48.06673045510369, 117.2955074402574 47.69770905210743, 116.3089526713732 47.85341014260284, 115.7428373556158 47.72654450132629, 115.4852820170731 48.13538259540344, 116.1918021993676 49.13459809019911, 116.6788008972861 49.8885313991214, 117.8792444194264 49.51098338479697, 119.2884607280258 50.142882798862, 119.27939 50.58292, 120.1820800000002 51.64355000000012, 120.7382 51.96411000000006, 120.725789015792 52.51622630473094, 120.1770886577168 52.75388621684124, 121.0030847514702 53.25140106873119, 122.2457479187928 53.4317259792137, 123.57147 53.45880000000005, 125.0682112977104 53.16104482686886, 125.9463489116462 52.79279857035698, 126.564399041857 51.7842554795327, 126.9391565288377 51.35389415140592, 127.2874556824848 50.73979726826548, 127.6574000000003 49.76027000000011, 129.3978178244204 49.44060008401544, 130.5822933289824 48.72968740497614, 130.9872600000001 47.79013000000003, 132.50669 47.78896000000003, 133.3735958192279 48.18344167743487, 135.0263114767866 48.47822988544387, 134.50081 47.57845000000009, 134.1123500000001 47.21248000000008, 133.7696439963129 46.11692698829901, 133.0971200000001 45.14409000000006, 131.8834542176595 45.32116160743652, 131.0251900000002 44.96796000000006, 131.2885551291155 44.11151968034828, 131.1446879416149 42.92998973242689, 130.6338664084097 42.90301463477053, 130.6399997069095 42.39502427522179, 129.9942672059332 42.98538686784379, 129.5966687358795 42.42498179785456, 128.0522152039723 41.99428457291795, 128.2084330587907 41.46677155208249, 127.343782993683 41.50315176041597, 126.8690832866499 41.81656932226619, 126.1820451193294 41.10733612727637, 125.0799418478406 40.56982371679245, 124.2656246277853 39.92849335383416, 122.867570428561 39.63778758397622, 122.1313879741309 39.17045176854467, 121.0545544780329 38.89747101496285, 121.5859949077225 39.36085358332407, 121.3767570333727 39.75026133885949, 122.1685950053811 40.42244253189602, 121.6403585144935 40.94638987890333, 120.7686287781619 40.59338816991754, 119.6396020854491 39.89805593521424, 119.0234639832331 39.25233307551115, 118.0427486511979 39.2042739934797, 117.5327022644771 38.73763580988408, 118.0596985209896 38.06147553156106, 118.8781498556283 37.89732534438593, 118.9116361837534 37.44846385349871, 119.7028023621421 37.15638865818505, 120.8234574728236 37.87042776137801, 121.711258579598 37.48112335870718, 122.3579374532985 37.45448415786072, 122.5199947449658 36.93061432550185, 121.1041638530331 36.65132904718043, 120.6370089051145 36.11143952081107, 119.6645618022461 35.60979055433772, 119.1512081238586 34.90985911716044, 120.2275248556337 34.36033193616865, 120.6203690939166 33.37672272392514, 121.2290141134502 32.46031871187719, 121.90814578663 31.69217438407465, 121.8919193868904 30.94935150809511, 121.2642574402733 30.6762674016487, 121.5035193217847 30.14291494396429, 122.0921138855891 29.83252045340315, 121.9384281759531 29.01802236583478, 121.6844385112385 28.22551260020662, 121.1256612488665 28.13567312266719, 120.3954732605823 27.05320689544932, 119.5854968608395 25.74078054453261, 118.6568713725545 24.54739085540024, 117.2816064799709 23.62450145109966, 115.8907353048351 22.78287323657807, 114.7638273458462 22.66807404224167, 114.1525468282656 22.22376007739615, 113.8067798198007 22.5483397486214, 113.2410779155016 22.05136749927046, 111.8435921570325 21.55049367928147, 110.7854655294241 21.39714386645534, 110.4440393412717 20.34103261970633, 109.8898612813736 20.28245738370349, 109.6276550639247 21.0082270370267, 109.8644881531183 21.39505097094752, 108.5228129415244 21.71521230721181, 108.0501802917829 21.55237986906012, 107.0434200378726 21.81189891202991, 106.5672733907353 22.21820486092477, 106.7254032735485 22.79426788989842, 105.8112471863052 22.9768924016179, 105.3292094258866 23.35206330005691, 104.4768583516645 22.81915009204697, 103.5045146016606 22.70375661873921, 102.7069922221001 22.70879507088767, 102.1704358256136 22.4647531193893, 101.6520178568615 22.31819875740955, 101.8031197448829 21.17436676684507, 101.27002566936 21.20165192309518, 101.1800053243075 21.43657298429403, 101.1500329935783 21.84998444262902, 100.4165377136274 21.55883942309661, 99.98348921102149 21.7429367131364, 99.24089887898725 22.11831431730458, 99.5319922220874 22.94903880461258, 98.89874922078278 23.14272207284253, 98.66026248575577 24.06328603768997, 97.60471967976198 23.89740469003304, 97.72460900267914 25.083637193293, 98.67183800658916 25.91870250091353, 98.71209394734451 26.74353587494027, 98.68269005737046 27.50881216075062, 98.24623091023329 27.74722138112918, 97.91198774616944 28.33594513601435, 97.32711388549004 28.26158274994634, 96.24883344928779 28.41103099213444, 96.58659061074749 28.83097951915434, 96.11767866413103 29.45280202892247, 95.40480228066464 29.03171662039213, 94.56599043170294 29.27743805593999, 93.41334760943269 28.64062938080723, 92.50311893104364 27.89687632904645, 91.69665652869668 27.77174184825166, 91.25885379431992 28.04061432546629, 90.7305139505678 28.06495392507576, 90.01582889197118 28.29643850352722, 89.47581017452111 28.0427588974064, 88.81424848832056 27.29931590423936, 88.73032596227856 28.08686473236752, 88.12044070836987 27.87654165293959, 86.95451704300061 27.97426178640352, 85.82331994013151 28.20357595469871, 85.01163821812304 28.64277395274734, 84.23457970575015 28.8398937037247, 83.89899295444673 29.32022614187766, 83.33711510613719 29.4637315943522, 82.32751264845088 30.11526805268814, 81.52580447787474 30.42271698660863, 81.11125613802932 30.1834809433134, 79.7213668151071 30.88271474865473, 78.73889448437401 31.51590607352706, 78.45844648632601 32.61816437431273, 79.17612877799553 32.48377981213771, 79.20889163606859 32.99439463961372, 78.81108646028574 33.50619802503242, 78.91226891471322 34.32193634697579, 77.83745079947457 35.49400950778777, 76.19284834178569 35.89840342868783, 75.89689741405013 36.66680613865184, 75.15802778514092 37.13303091078912, 74.98000247589542 37.4199901393059, 74.8299857929521 37.9900070257014, 74.86481570831683 38.3788463404816, 74.25751427602273 38.60650686294345, 73.92885216664644 38.50581533462274, 73.67537926625479 39.4312368841056, 73.96001305531843 39.66000844986173, 73.8222436868283 39.89397349706319, 74.77686242055606 40.36642527929163, 75.4678279967307 40.56207225194867, 76.52636803579745 40.42794607193512, 76.90448449087708 41.06648590754965, 78.18719689322597 41.18531586360481, 78.54366092317531 41.58224254003869, 80.11943037305139 42.12394074153825, 80.2599902688853 42.34999929459906)))",East Asia & Pacific,,left_only
10674723,Europe,Czechia,CZE,350900,"POLYGON ((15.01699588385867 51.10667409932158, 15.49097212083973 50.78472992614321, 16.23862674323857 50.69773265237984, 16.17625328946227 50.42260732685791, 16.71947594571444 50.21574656839354, 16.86876915860566 50.47397370055603, 17.55456709155112 50.36214590107642, 17.64944502123899 50.04903839781996, 18.39291385262217 49.98862864847075, 18.85314415861362 49.49622976337764, 18.55497114428948 49.49501536721878, 18.39999352384618 49.31500051533004, 18.17049848803796 49.27151479755643, 18.10497277189185 49.04398346617531, 17.91351159025047 48.99649282489909, 17.88648481616181 48.90347524677371, 17.54500695157711 48.80001902932537, 17.1019848975389 48.81696889911711, 16.96028812019458 48.5969823268506, 16.49928266771877 48.78580801044511, 16.02964725105022 48.73389903420793, 15.25341556159398 49.03907420510758, 14.90144738125406 48.96440176044582, 14.33889773932472 48.55530528420721, 13.59594567226444 48.87717194273715, 13.03132897304343 49.30706818297324, 12.52102420416119 49.54741526956273, 12.41519087082744 49.96912079528057, 12.24011111822256 50.26633779560728, 12.96683678554319 50.48407644306909, 13.33813195156029 50.73323436136435, 14.05622765468817 50.9269176295943, 14.30701338060064 51.11726776794141, 14.57071821458607 51.00233938252428, 15.01699588385867 51.10667409932158))",Europe & Central Asia,,left_only
265100,Asia,N. Cyprus,-99,3600,"POLYGON ((32.73178022637745 35.14002594658844, 32.80247358575275 35.14550364841138, 32.94696089044081 35.3867033961337, 33.66722700372495 35.37321584730552, 34.57647382990046 35.67159556735879, 33.9008044776842 35.24575592705762, 33.97361657078346 35.058506374648, 33.86643965021011 35.09359467217419, 33.67539188002706 35.01786286065045, 33.5256852556775 35.03868846286407, 33.47581749851585 35.00034455010351, 33.45592207208347 35.10142365166641, 33.3838334490363 35.16271190036457, 33.19097700372305 35.17312470147138, 32.91957238132613 35.08783274997364, 32.73178022637745 35.14002594658844))",Europe & Central Asia,,left_only
3856181,Europe,Bosnia and Herz.,BIH,42530,"POLYGON ((18.55999999999995 42.64999999999998, 17.67492150235898 43.02856252702361, 17.29737348803445 43.44634064388737, 16.91615644701733 43.66772247982567, 16.45644290534887 44.04123973243128, 16.23966027188453 44.35114329688571, 15.75002607591898 44.81871165626256, 15.95936730313338 45.23377676043094, 16.31815677253587 45.00412669532591, 16.53493940600021 45.21160757097772, 17.00214603035101 45.23377676043094, 17.8617834815264 45.06774038347714, 18.55321414559165 45.08158966733146, 19.00548459755759 44.86023449354299, 19.00548000000009 44.86023, 19.36802999999992 44.86300000000006, 19.11761000000007 44.42307000000011, 19.59976000000006 44.03846999999996, 19.45400000000006 43.56810000000013, 19.21851999999996 43.52384000000001, 19.03165000000007 43.43252999999999, 18.70648000000006 43.20011, 18.55999999999995 42.64999999999998))",Europe & Central Asia,,left_only
2103721,Europe,Macedonia,MKD,29520,"POLYGON ((22.38052575042459 42.32025950781509, 22.88137373219735 41.99929718685036, 22.95237715016645 41.33799388281115, 22.76177000000001 41.30480000000006, 22.59730838388901 41.1304871689432, 22.05537763844427 41.14986583105269, 21.67416059742698 40.93127452245795, 21.0200403174764 40.84272695572588, 20.60518191903736 41.08622630468523, 20.4631750830992 41.51508901627534, 20.59024743010491 41.85540416113361, 20.59024654668023 41.85540891928363, 20.71731000000011 41.84711000000004, 20.76215999999999 42.05186000000003, 21.35270000000014 42.20679999999999, 21.57663598940212 42.24522439706186, 21.91708000000011 42.30363999999997, 22.38052575042459 42.32025950781509))",Europe & Central Asia,,left_only
13026129,Africa,S. Sudan,SSD,20880,"POLYGON ((30.83385242171543 3.509171604222463, 29.95350019706947 4.173699042167684, 29.71599531425602 4.600804755060153, 29.1590784034465 4.389267279473231, 28.6966776872988 4.455077215996937, 28.42899376802691 4.287154649264494, 27.97997724784281 4.408413397637375, 27.37422610851749 5.233944403500061, 27.21340905122517 5.550953477394557, 26.46590945812324 5.94671743410187, 26.21341840994512 6.546603298362072, 25.79664798351118 6.979315904158071, 25.12413089366473 7.500085150579437, 25.11493248871679 7.825104071479174, 24.56736901215208 8.229187933785468, 23.88697958086067 8.619729712933065, 24.19406772118765 8.728696472403897, 24.53741516360202 8.91753756573172, 24.79492574541268 9.810240916008695, 25.06960369934399 10.27375996326799, 25.79063332841395 10.41109894023373, 25.96230704962102 10.13642098630243, 26.47732821324252 9.552730334198088, 26.75200616717382 9.466893473594496, 27.11252098170888 9.638567194801624, 27.83355061077879 9.604232450560289, 27.97088958774435 9.398223985111656, 28.96659717074579 9.398223985111656, 29.00093191498718 9.604232450560289, 29.51595307860862 9.793073543888056, 29.61895731133285 10.08491886994022, 29.99663949798855 10.29092733538869, 30.83784073190338 9.70723668328452, 31.35286189552488 9.810240916008695, 31.85071568702551 10.53127054507883, 32.40007159488835 11.08062645294149, 32.31423473428475 11.68148447716652, 32.07389152459479 11.97332980321852, 32.67474954881965 12.02483191958072, 32.74341903730254 12.24800775714999, 33.20693808456178 12.1793382686671, 33.08676647971674 11.4411412674765, 33.20693808456178 10.72011163840659, 33.72195924818311 10.32526207963019, 33.84213085302815 9.981914637215993, 33.82496348090751 9.484060845715362, 33.96339279497118 9.464285229420625, 33.97498000000007 8.684559999999919, 33.82550000000015 8.37916000000007, 33.29480000000012 8.354580000000055, 32.95418000000006 7.784970000000101, 33.5682900000001 7.713340000000017, 34.07510000000002 7.225950000000068, 34.25032000000004 6.826070000000072, 34.70702 6.594220000000121, 35.29800711823298 5.506, 34.62019626785388 4.847122742081988, 34.005 4.249884947362048, 33.3900000000001 3.789999999999964, 32.68642000000006 3.792320000000075, 31.88144999999997 3.558269999999993, 31.24556000000007 3.781900000000007, 30.83385242171543 3.509171604222463))",Sub-Saharan Africa,,left_only
